"","diet","stage","round1","round2","round3","p","p_nonlinear","d1","d2","d3"
"1","water","0","12.76","13.72","-1","0.1538","0.0791","down","up","-1"
"2","protein","0","52.23","62.02","-1","0.0056","0.0028","down","up","-1"
"3","fat","0","5.88","7.36","-1","1e-04","0","down","up","-1"
"4","carbohydrate","0","194.82","296.37","-1","0.0011","7e-04","down","up","-1"
"5","df","0","9.44","14.6","-1","1e-04","1e-04","down","up","-1"
"6","k","0","142.06","213.51","-1","0.0295","0.0467","down","up","-1"
"7","na","0","21.63","24.47","-1","2e-04","1e-04","down","up","-1"
"8","mg","0","23.67","36.19","-1","0.018","0.0129","down","up","-1"
"9","ca","0","4.2","-1","-1","0.8142","0.849","down","-1","-1"
"10","p","0","77.96","98.67","-1","0.0095","0.0074","down","up","-1"
"11","fe","0","14.27","20.09","-1","0.0025","8e-04","down","up","-1"
"12","zn","0","7.39","11.05","-1","0.003","0.0015","down","up","-1"
"13","cu","0","1.14","1.14","-1","0.1322","0.0628","down","up","-1"
"14","mn","0","3.53","6.27","-1","0.0526","0.0356","down","up","-1"
"15","se","0","34.44","38.76","-1","0","3e-04","down","up","-1"
"16","retinol","0","9.19","15.95","-1","1e-04","0.2284","down","up","-1"
"17","vitaminA","0","4.2","6.65","-1","0","2e-04","down","up","-1"
"18","carotene","0","13.5","36.53","-1","6e-04","7e-04","down","up","-1"
"19","vitaminE","0","20.19","22.67","-1","0","0","down","up","-1"
"20","thiamine","0","0.7","0.72","-1","0.0046","0.0049","down","up","-1"
"21","riboflavin","0","0.75","0.85","-1","0.1143","0.1845","down","up","-1"
"22","nicotinic","0","11.19","19.37","-1","0.0157","0.0195","down","up","-1"
"23","ascorbic","0","75.89","-1","-1","0.3871","0.9347","down","-1","-1"
"24","dpi","0","8.73","11.18","-1","0.009","0.0051","down","up","-1"
"25","dei","0","25.86","34.28","-1","0.0012","6e-04","down","up","-1"
"26","water","1","13.79","-1","-1","0.8106","0.8395","down","-1","-1"
"27","protein","1","46.99","48.48","-1","0.0097","0.0147","down","up","-1"
"28","fat","1","5.78","5.84","-1","4e-04","0.0015","down","up","-1"
"29","carbohydrate","1","201.57","-1","-1","0.2219","0.8103","down","-1","-1"
"30","df","1","9.2","9.9","13.56","0.044","0.1497","down","up","down"
"31","k","1","133.14","138.99","-1","0.0415","0.0165","down","up","-1"
"32","na","1","20.91","24.44","-1","0","0","down","up","-1"
"33","mg","1","23.95","36.13","-1","0.7525","0.733","down","up","-1"
"34","ca","1","3.94","4.07","-1","0.0092","0.0107","down","up","-1"
"35","p","1","73.77","101.97","-1","0.2816","0.3315","down","up","-1"
"36","fe","1","14.37","24.64","-1","0.589","0.5584","down","up","-1"
"37","zn","1","7.57","8.49","-1","0.2093","0.1068","down","up","-1"
"38","cu","1","1.12","1.14","1.38","0.9286","0.9696","down","up","down"
"39","mn","1","2.4","3.57","5.57","0.9897","0.9464","down","up","down"
"40","se","1","29.75","33.09","-1","0.0851","0.097","down","up","-1"
"41","retinol","1","11.97","12.86","-1","0.0152","0.0187","down","up","-1"
"42","vitaminA","1","4.05","4.22","-1","0.0374","0.0152","down","up","-1"
"43","carotene","1","14.28","21.08","-1","0.0031","0.0071","down","up","-1"
"44","vitaminE","1","20.19","28.31","-1","0.1902","0.2086","down","up","-1"
"45","thiamine","1","0.56","0.63","-1","0.977","0.9092","down","up","-1"
"46","riboflavin","1","0.77","0.78","-1","0.0753","0.0333","down","up","-1"
"47","nicotinic","1","11.28","14.54","-1","0.0073","0.0031","down","up","-1"
"48","ascorbic","1","78.41","79.74","-1","0.0557","0.1131","down","up","-1"
"49","dpi","1","8.49","8.61","-1","0.0278","0.0451","down","up","-1"
"50","dei","1","25.69","41.98","-1","0.1871","0.3652","down","up","-1"
"51","water","2","14.45","-1","-1","0.0227","0.2895","down","-1","-1"
"52","protein","2","51.29","-1","-1","0.0023","0.212","down","-1","-1"
"53","fat","2","6.04","-1","-1","9e-04","0.4949","down","-1","-1"
"54","carbohydrate","2","216.48","-1","-1","0.0204","0.6316","down","-1","-1"
"55","df","2","10.17","16","-1","1e-04","0.001","down","up","-1"
"56","k","2","148.89","-1","-1","1e-04","0.0748","down","-1","-1"
"57","na","2","25.04","-1","-1","2e-04","0.8708","down","-1","-1"
"58","mg","2","24.23","-1","-1","0","0.021","down","-1","-1"
"59","ca","2","4.01","6.61","-1","0.124","0.2675","down","up","-1"
"60","p","2","77.26","-1","-1","0.0034","0.0578","down","-1","-1"
"61","fe","2","15.34","-1","-1","1e-04","0.4791","down","-1","-1"
